name,type,rarity,setName,setCode,isUniversesBeyond,releaseDate,keywords,keywordCount,manaValue,power,toughness,baseLevel,defense,colors,isMulticolor,text,edhrecRank
"szarekh, the silent king",legendary artifact creature — necron,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Flying', 'Mill', 'My Will Be Done']",3,4.0,3.0,4.0,11.0,,['B'],False,"Flying
My Will Be Done - Whenever Szarekh, the Silent King attacks, mill three cards. You may put an artifact creature card or Vehicle card from among the cards milled this way into your hand.",9092.0
abaddon the despoiler,legendary creature — astartes warrior,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Mark of Chaos Ascendant', 'Trample']",2,5.0,5.0,5.0,15.0,,"['B', 'R', 'U']",True,"Trample
Mark of Chaos Ascendant - During your turn, spells you cast from your hand with mana value X or less have cascade, where X is the total amount of life your opponents have lost this turn.",8018.0
inquisitor greyfax,legendary creature — human inquisitor,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Hunt for Heresy', 'Investigate', 'Unquestionable Wisdom', 'Vigilance']",4,4.0,3.0,3.0,10.0,,"['B', 'U', 'W']",True,"Vigilance
Unquestionable Wisdom - Other creatures you control get +1/+0 and have vigilance.
Hunt for Heresy - {1}, {T}: Tap target creature an opponent controls. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")",8664.0
the swarmlord,legendary creature — tyranid,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Rapid Regeneration', 'Xenos Cunning']",2,6.0,5.0,5.0,16.0,,"['G', 'R', 'U']",True,"Rapid Regeneration - The Swarmlord enters with two +1/+1 counters on it for each time you've cast your commander from the command zone this game.
Xenos Cunning - Whenever a creature you control with a counter on it dies, draw a card.",11794.0
imotekh the stormlord,legendary artifact creature — necron,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Grand Strategist', 'Phaeron']",2,4.0,3.0,3.0,10.0,,['B'],False,"Phaeron - Whenever one or more artifact cards leave your graveyard, create two 2/2 black Necron Warrior artifact creature tokens.
Grand Strategist - At the beginning of combat on your turn, another target artifact creature you control gets +2/+2 and gains menace until end of turn.",4364.0
"be'lakor, the dark master",legendary creature — demon noble,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Flying', 'Lord of Torment', 'Prince of Chaos']",3,6.0,6.0,5.0,17.0,,"['B', 'R', 'U']",True,"Flying
Prince of Chaos - When Be'lakor, the Dark Master enters, you draw X cards and you lose X life, where X is the number of Demons you control.
Lord of Torment - Whenever another Demon you control enters, it deals damage equal to its power to any target.",6537.0
magus lucea kane,legendary creature — human tyranid wizard,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Psychic Stimulus', 'Spiritual Leader']",2,4.0,1.0,1.0,6.0,,"['G', 'R', 'U']",True,"Spiritual Leader - At the beginning of combat on your turn, put a +1/+1 counter on target creature.
Psychic Stimulus - {T}: Add {C}{C}. When you next cast a spell with {X} in its mana cost or activate an ability with {X} in its activation cost this turn, copy that spell or ability. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",5928.0
marneus calgar,legendary creature — astartes warrior,mythic,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Chapter Master', 'Double strike', 'Master Tactician']",3,5.0,3.0,5.0,13.0,,"['B', 'U', 'W']",True,"Double strike
Master Tactician - Whenever one or more tokens you control enter, draw a card.
Chapter Master - {6}: Create two 2/2 white Astartes Warrior creature tokens with vigilance.",4765.0
and they shall know no fear,instant,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,[],0,2.0,,,2.0,,['W'],False,Choose a creature type. Creatures you control of the chosen type get +1/+0 and gain indestructible until end of turn.,2995.0
and they shall know no fear,instant,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,[],0,2.0,,,2.0,,['W'],False,Choose a creature type. Creatures you control of the chosen type get +1/+0 and gain indestructible until end of turn.,2995.0
"celestine, the living saint",legendary creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Flying', 'Healing Tears', 'Lifelink']",3,5.0,3.0,4.0,12.0,,['W'],False,"Flying, lifelink
Healing Tears - At the beginning of your end step, return target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn.",2687.0
"celestine, the living saint",legendary creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Flying', 'Healing Tears', 'Lifelink']",3,5.0,3.0,4.0,12.0,,['W'],False,"Flying, lifelink
Healing Tears - At the beginning of your end step, return target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn.",2687.0
defenders of humanity,enchantment,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,[],0,3.0,,,3.0,,['W'],False,"When this enchantment enters, create X 2/2 white Astartes Warrior creature tokens with vigilance.
{X}{2}{W}, Exile this enchantment: Create X 2/2 white Astartes Warrior creature tokens with vigilance. Activate only if you control no creatures and only during your turn.",9530.0
defenders of humanity,enchantment,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,[],0,3.0,,,3.0,,['W'],False,"When this enchantment enters, create X 2/2 white Astartes Warrior creature tokens with vigilance.
{X}{2}{W}, Exile this enchantment: Create X 2/2 white Astartes Warrior creature tokens with vigilance. Activate only if you control no creatures and only during your turn.",9530.0
for the emperor!,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,[],0,4.0,,,4.0,,['W'],False,Creatures you control get +2/+2 and gain vigilance and lifelink until end of turn.,8737.0
for the emperor!,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,[],0,4.0,,,4.0,,['W'],False,Creatures you control get +2/+2 and gain vigilance and lifelink until end of turn.,8737.0
grey knight paragon,creature — astartes knight,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Flash', 'Rites of Banishment']",2,5.0,4.0,4.0,13.0,,['W'],False,"Flash
Rites of Banishment - When this creature enters, destroy target attacking creature. If that creature is a Demon, exile it instead.",14159.0
grey knight paragon,creature — astartes knight,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Flash', 'Rites of Banishment']",2,5.0,4.0,4.0,13.0,,['W'],False,"Flash
Rites of Banishment - When this creature enters, destroy target attacking creature. If that creature is a Demon, exile it instead.",14159.0
space marine devastator,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Grav-cannon', 'Squad']",2,4.0,3.0,3.0,10.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Grav-cannon - When this creature enters, destroy up to one target artifact or enchantment.",6773.0
space marine devastator,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Grav-cannon', 'Squad']",2,4.0,3.0,3.0,10.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Grav-cannon - When this creature enters, destroy up to one target artifact or enchantment.",6773.0
space marine scout,creature — astartes scout,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Concealed Position', 'First strike', 'Vigilance']",3,3.0,2.0,1.0,6.0,,['W'],False,"First strike, vigilance
Concealed Position - When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",8705.0
space marine scout,creature — astartes scout,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Concealed Position', 'First strike', 'Vigilance']",3,3.0,2.0,1.0,6.0,,['W'],False,"First strike, vigilance
Concealed Position - When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",8705.0
thunderwolf cavalry,creature — astartes warrior,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,"['Crushing Teeth', 'First strike']",2,5.0,4.0,4.0,13.0,,['W'],False,"First strike
Crushing Teeth - Whenever this creature deals combat damage to a player, put a +1/+1 counter on each other creature you control.",12835.0
